"","dominance10","prestige10","leadership10","dominance6","prestige6","leadership6","dominance4","prestige4","leadership4","MFQ_harm_s","MFQ_fair_s","MFQ_ingroup_s","MFQ_authority_s","MFQ_purity_s","gender","age","employment_rank"
"2",47,47,33,29,25,19,20,19,12,-0.000322268787309145,1.31161947414682,0.899995950799509,-0.416356812247095,-2.26204813112535,"male",NA,0
"3",31,43,35,18,23,21,14,17,15,-0.000322268787309145,-1.72490316423291,0.189129770375314,-1.6564398153174,-1.2247384500203,"male",NA,1
"6",22,38,48,13,22,29,7,14,19,-0.14178828269877,-0.139443828676264,0.580774091302808,0.269585610317476,0.0575782035747429,"female","1",4
"8",37,47,47,19,29,27,11,20,18,-1.72827722613432,1.21423408175241,-1.00619408744803,0.546655900570345,-0.250003829363553,"female","2",7
"9",37,52,48,22,31,28,13,21,19,0.83390513959529,1.83555707645801,1.31203116676787,1.23259832313492,1.03231282423149,"male","2",1
"10",38,35,55,21,22,36,13,13,24,0.122626541207156,-1.85929919696648,0.972418412230301,-0.28455497018826,-0.552292592998626,"female","3",9
"11",13,31,42,7,20,25,4,9,16,0.446541505694899,0.189722988846116,-1.30502505190387,-3.30539495069941,-1.46974542251029,"male","1",0
"14",30,43,34,17,26,19,9,19,13,-0.935032754416547,-0.737402711665772,-0.707363122992195,0.474021676473328,1.09488788467979,"male","3",11
"16",32,43,42,21,27,23,12,19,15,-0.52915191659916,-0.5056212865378,0.69397834281533,0.67845774262918,0.724730791293193,"male","3",11
"17",28,40,55,16,22,34,9,13,22,1.42223492798896,0.885067264230032,0.508351629872016,0.401387452376311,-0.0675719173218641,"female","3",11
"18",21,34,46,13,22,29,6,16,17,2.03303044913045,1.40900486654123,0.20952066541618,-0.0801189040324088,0.114859994719824,"female","3",7
"19",23,43,20,15,31,10,9,19,6,0.528507379024542,0.555900446707653,-0.388141263495493,-0.0666522978972098,-0.672149444592011,"male","3",11
"20",30,32,49,16,19,31,9,12,20,-2.58102183843392,0.713660591157311,0.807182594327852,-1.01619840457945,-0.917156417082003,"male","4",11
"21",18,36,46,9,21,29,5,12,19,0.0406606678775125,0.848056623890875,0.69397834281533,0.269585610317476,0.787305851741497,"male","3",9
"22",38,44,44,25,26,28,16,15,20,0.751939266265646,1.6407862916692,2.62055927610374,2.32741287801119,2.25205441737823,"male","4",7
"23",31,37,47,16,24,27,8,16,17,0.792922202930468,0.945442016285283,-0.016887837608865,0.619290124667362,0.485017088106423,"male","3",10
"24",25,40,42,15,24,26,8,14,17,-0.000322268787309145,0.518889806368496,1.10601355878369,-0.343722588150078,-0.495010801853544,"male","4",11
"25",26,44,43,15,25,26,8,17,16,1.2807689140775,-0.139443828676264,0.189129770375314,0.474021676473328,0.177435055168128,"female","3",9
"26",13,31,45,6,16,29,4,11,21,1.68664975189488,0.421504413974088,1.01320020231203,1.43703438929077,1.64218362080486,"male","4",6
"27",30,40,43,20,27,26,10,17,16,-2.49905596510428,-2.09108062209445,-0.408532158536358,-1.02966501071465,-1.2247384500203,"male","4",9
"28",29,37,43,18,23,26,12,15,17,-0.0598224093691266,-1.16395492158256,-0.820567374504717,-0.488991036344112,-0.672149444592011,"male","2",5
"29",24,41,41,13,28,26,9,18,17,1.01635409017157,1.50639025893563,0.415538273400359,1.23259832313492,0.177435055168128,"female","3",7
"31",19,32,46,13,19,28,7,11,18,0.83390513959529,-0.176454469015421,0.487960734831151,-0.139286521994227,0.8498809121898,NA,"4",10
"32",23,42,52,16,29,31,10,18,19,-0.406203106604696,-0.83478810406018,1.6108621312237,-0.125819915859028,0.787305851741497,"male","3",11
"33",33,39,45,23,23,24,14,15,17,-0.711600867175443,-0.83478810406018,0.0963164139036573,0.546655900570345,0.42244202765812,NA,"3",11
"34",26,39,49,14,26,30,9,17,19,0.305075491783438,0.616275198762903,-0.72775401803306,-0.0666522978972098,0.177435055168128,"male","5",11
"36",29,42,48,18,24,29,11,14,19,-1.19944757832247,-1.91967394902173,0.168738875334449,-0.343722588150078,-1.2247384500203,"male","3",11
"37",26,39,44,16,23,26,9,14,20,0.305075491783438,-0.371225253804236,-0.72775401803306,-0.970497392752832,-0.250003829363553,"male","3",11
"39",38,47,53,24,26,32,15,18,21,0.305075491783438,-0.236829221070671,0.0963164139036573,1.30523254723193,0.177435055168128,"male","2",6
"40",17,38,48,8,24,30,4,15,20,0.487524442359721,1.31161947414682,0.69397834281533,0.619290124667362,-0.124853708466945,NA,"4",9
"41",29,42,24,16,27,13,10,17,8,-1.28141345165212,-0.700392071326616,0.992809307271166,0.619290124667362,0.0575782035747429,"male","4",11
"42",23,27,44,14,15,27,9,11,17,0.0816436045423341,-0.700392071326616,0.786791699286987,0.342219834414493,-1.04230653797861,"male","4",11
"43",11,16,31,7,10,24,5,5,16,-0.0413052054521308,0.189722988846116,-0.594158871479672,-3.50983101685527,-2.68948701565703,"male","4",6
"44",23,36,37,13,23,20,8,13,12,0.182126681788973,-0.139443828676264,1.31203116676787,0.474021676473328,-0.614867653446929,"male","4",9
"45",23,46,50,12,28,30,6,18,20,-0.6296349938458,-0.371225253804236,-0.016887837608865,-0.752594720461781,-1.04230653797861,"male","3",7
"46",41,51,45,24,31,28,17,21,19,0.0406606678775125,-0.700392071326616,1.40484452323952,1.50966861338779,1.09488788467979,"male","3",6
"47",28,42,52,14,24,31,8,18,21,0.934388216841929,0.98245265662444,1.31203116676787,1.50966861338779,-0.062278648018642,"female","3",11
"48",41,41,41,26,24,25,17,16,16,0.122626541207156,-0.176454469015421,1.17843602021448,0.89636041492023,0.547592148554727,"male","3",11
"49",26,48,38,16,28,21,10,19,14,0.528507379024542,-0.0420584362818562,0.920386845840375,0.401387452376311,-0.740017774343536,"female","4",6
"50",20,45,54,10,28,32,8,19,20,2.25646233637156,1.04282740867969,1.291640271727,0.691924348764379,0.855174181493022,"female","2",6
"51",23,48,45,16,31,28,10,21,20,1.80959856188935,1.04282740867969,-0.521736410048881,1.37786677132895,0.297291906761513,"male","2",9
"52",28,34,40,17,19,24,11,12,16,-0.935032754416547,-0.468610646198644,-1.00619408744803,-0.76606132659698,-0.369860680956937,"female","4",9
"53",21,35,34,13,23,21,9,15,14,1.68664975189488,0.189722988846116,1.6108621312237,1.1734307051731,0.969737763783185,"female","2",2
"54",60,47,60,36,27,36,24,19,24,-3.51573232406316,-3.24998774773431,-1.55182444996978,-1.57033898508519,-0.729431235737092,"male","1",9
