"","dominance10","prestige10","leadership10","dominance6","prestige6","leadership6","dominance4","prestige4","leadership4","MFQ_harm_s","MFQ_fair_s","MFQ_ingroup_s","MFQ_authority_s","MFQ_purity_s","gender","age","employment_rank","percentage"
"1",NA,NA,NA,13,24,12,8,16,8,0.168408559162883,0.442953008356051,1.51371602411887,1.19285496560516,1.18354273298225,"male",33,4,0
"2",NA,NA,NA,21,14,21,13,8,14,-0.728683039283468,-0.514312825026377,1.32733952685776,0.810974737966721,0.68062089177166,"male",49,11,0
"4",NA,NA,NA,8,27,19,4,18,14,-0.0558643404487048,0.682269466701658,2.25922201316331,1.38379507942438,1.51882396045597,"female",32,9,100
"5",NA,NA,NA,14,23,22,7,15,15,0.392681458774471,0.921585925047265,0.95458653233554,0.238154396509063,-0.660504018123237,"female",32,1,10
"6",NA,NA,NA,15,20,18,11,14,11,0.841227257997646,-1.47157865840881,0.58183353781332,0.810974737966721,-0.325222790649513,"female",33,0,0
"7",NA,NA,NA,18,35,18,12,24,12,0.168408559162883,0.682269466701658,0.76821003507443,-0.143725831129376,-0.995785245596961,"female",42,1,50
"8",NA,NA,NA,16,18,24,10,11,16,0.616954358386058,-0.27499636668077,-0.350048948492231,-0.525606058767815,-0.325222790649513,"female",45,6,0
"9",NA,NA,NA,12,18,12,8,10,8,-0.0558643404487048,-0.27499636668077,0.76821003507443,0.238154396509063,0.68062089177166,"female",28,1,0
"10",NA,NA,NA,16,19,24,8,13,16,-0.280137240060293,-1.71089511675441,0.58183353781332,1.19285496560516,0.0100584368242115,"female",63,9,0
"11",NA,NA,NA,14,19,16,8,12,12,-0.952955938895056,-1.71089511675441,0.76821003507443,-0.907486286406254,1.01590211924538,"male",21,2,0
"12",NA,NA,NA,21,31,29,13,19,19,0.392681458774471,0.682269466701658,2.25922201316331,1.38379507942438,2.02174580166656,"female",32,11,0
"13",NA,NA,NA,12,25,19,6,16,13,1.28977305722082,0.921585925047265,-1.84106092658111,-2.05312696932157,-2.169269541755,"male",39,10,100
"15",NA,NA,NA,14,19,22,9,11,14,-0.50441013967188,-0.0356799083351631,0.76821003507443,0.238154396509063,0.345339664297936,"female",36,3,0
"16",NA,NA,NA,14,20,12,10,13,8,-0.0558643404487048,-0.0356799083351631,0.39545704055221,-2.05312696932157,-2.33691015549186,"male",32,4,0
"17",NA,NA,NA,9,20,27,5,11,18,-0.0558643404487048,1.16090238339287,0.95458653233554,1.19285496560516,2.02174580166656,"male",25,1,0
"18",NA,NA,NA,30,30,35,19,21,23,0.616954358386058,0.682269466701658,2.0728455159022,1.5747351932436,1.68646457419283,"male",50,11,0
"19",NA,NA,NA,6,11,8,4,4,4,1.06550015760923,0.921585925047265,-0.722801943014451,0.0472142826898431,-0.492863404386375,"female",41,1,0
"20",NA,NA,NA,18,23,25,10,15,17,0.392681458774471,0.442953008356051,-0.909178440275561,-0.525606058767815,-0.325222790649513,"female",31,3,0
"21",NA,NA,NA,20,23,17,12,14,10,-0.952955938895056,0.203636550010444,-2.02743742384222,-1.28936651404469,-1.66634770054441,"female",37,1,0
"22",NA,NA,NA,16,29,15,11,18,7,1.06550015760923,0.921585925047265,0.2090805432911,0.429094510328282,0.68062089177166,"male",61,1,0
"24",NA,NA,NA,14,25,16,9,16,11,-0.280137240060293,-0.753629283371985,1.32733952685776,0.429094510328282,1.01590211924538,"female",22,0,0
"25",NA,NA,NA,12,20,10,7,12,6,1.06550015760923,-0.0356799083351631,0.95458653233554,1.5747351932436,1.35118334671911,"female",34,4,0
"26",NA,NA,NA,14,16,24,9,8,15,1.06550015760923,-0.27499636668077,0.76821003507443,0.429094510328282,1.18354273298225,"female",32,5,0
"27",NA,NA,NA,22,18,30,14,11,20,-2.07432043695299,-1.95021157510002,-0.16367245123112,-0.525606058767815,-0.995785245596961,"male",52,11,0
"28",NA,NA,NA,6,17,10,4,11,6,1.28977305722082,1.40021884173848,-1.65468442932,-2.24406708314079,-1.83398831428127,"male",46,1,0
"29",NA,NA,NA,9,26,29,6,15,20,0.841227257997646,1.16090238339287,1.88646901864109,1.38379507942438,1.85410518792969,"male",33,0,100
"30",NA,NA,NA,11,22,20,7,13,13,0.841227257997646,-0.514312825026377,0.76821003507443,1.38379507942438,1.85410518792969,"female",45,6,0
"31",NA,NA,NA,15,19,26,9,13,16,-0.280137240060293,-0.992945741717592,0.39545704055221,0.0472142826898431,-0.325222790649513,"male",37,9,0
"32",NA,NA,NA,13,24,26,9,14,18,1.28977305722082,-0.0356799083351631,-0.909178440275561,-0.907486286406254,-1.66634770054441,"female",46,5,0
"33",NA,NA,NA,21,30,27,12,20,15,1.738318856444,2.1181682167753,-1.28193143479778,-1.28936651404469,-2.33691015549186,"male",34,7,0
"34",NA,NA,NA,8,24,15,5,15,10,1.06550015760923,-0.27499636668077,0.2090805432911,-0.143725831129376,-1.66634770054441,"male",33,1,0
"35",NA,NA,NA,10,22,30,6,13,20,0.392681458774471,0.921585925047265,-1.28193143479778,-2.05312696932157,-2.00162892801813,"male",53,8,0
"36",NA,NA,NA,20,18,26,13,12,17,1.28977305722082,1.16090238339287,0.76821003507443,1.19285496560516,-0.828144631860099,"female",48,5,0
"37",NA,NA,NA,16,21,29,10,12,20,0.168408559162883,-0.514312825026377,0.39545704055221,0.238154396509063,0.848261505508522,"female",31,7,10
"38",NA,NA,NA,13,33,28,10,21,19,0.616954358386058,1.16090238339287,0.0227040460299897,-1.28936651404469,0.512980278034798,"female",25,3,20
"39",NA,NA,NA,10,25,27,5,15,18,0.168408559162883,0.442953008356051,-0.722801943014451,-0.716546172587034,-0.660504018123237,"female",54,4,0
"40",NA,NA,NA,16,24,15,9,16,10,-0.728683039283468,-0.27499636668077,-0.350048948492231,-0.716546172587034,0.0100584368242115,"male",25,4,20
"41",NA,NA,NA,13,26,10,8,16,6,-0.952955938895056,-0.27499636668077,0.0227040460299897,-0.716546172587034,-0.157582176912651,"male",24,1,0
"42",NA,NA,NA,13,21,21,6,13,14,1.28977305722082,1.87885175842969,-0.16367245123112,-1.28936651404469,-0.492863404386375,"female",37,3,20
"43",NA,NA,NA,13,24,17,9,17,11,-2.07432043695299,-1.2322622000632,0.76821003507443,0.810974737966721,1.18354273298225,"male",32,6,0
"44",NA,NA,NA,18,21,16,10,13,9,-1.62577463772982,0.442953008356051,-1.65468442932,0.810974737966721,1.51882396045597,"male",28,5,0
"45",NA,NA,NA,21,28,19,13,18,11,-0.0558643404487048,-0.992945741717592,-0.909178440275561,-0.716546172587034,-0.492863404386375,"female",26,1,20
"46",NA,NA,NA,12,22,25,6,15,17,1.06550015760923,0.682269466701658,-1.09555493753667,-1.09842640022547,0.0100584368242115,"male",52,10,0
"47",NA,NA,NA,15,20,25,9,12,16,0.392681458774471,0.203636550010444,0.39545704055221,0.0472142826898431,-0.325222790649513,"male",46,10,100
"48",NA,NA,NA,27,27,26,18,17,18,0.392681458774471,0.203636550010444,0.95458653233554,0.620034624147501,1.35118334671911,"male",32,9,10
"49",NA,NA,NA,24,30,28,16,20,19,-0.0558643404487048,-1.2322622000632,-0.722801943014451,-1.48030662786391,-0.492863404386375,"male",43,11,0
"50",NA,NA,NA,18,21,23,11,13,15,-0.50441013967188,-1.95021157510002,-0.350048948492231,-0.143725831129376,-0.157582176912651,"female",46,7,0
"51",NA,NA,NA,15,19,19,9,12,12,0.168408559162883,0.442953008356051,-0.536425445753341,-1.28936651404469,-0.828144631860099,"male",39,7,0
"54",NA,NA,NA,23,23,21,15,15,15,-0.0558643404487048,0.203636550010444,-1.65468442932,0.0472142826898431,0.0100584368242115,"female",26,1,10
"55",NA,NA,NA,17,27,22,10,19,15,0.616954358386058,0.442953008356051,1.32733952685776,0.810974737966721,0.177699050561074,"male",35,10,0
"56",NA,NA,NA,12,28,28,8,18,20,1.28977305722082,1.16090238339287,1.88646901864109,1.76567530706282,1.35118334671911,"male",33,1,0
"57",NA,NA,NA,17,17,20,12,11,14,0.616954358386058,1.87885175842969,0.76821003507443,1.38379507942438,1.18354273298225,"male",38,1,0
"58",NA,NA,NA,8,20,15,5,14,10,0.392681458774471,-0.753629283371985,0.58183353781332,0.620034624147501,-0.325222790649513,"female",38,5,50
"59",NA,NA,NA,22,26,20,14,16,14,0.841227257997646,-0.514312825026377,-1.28193143479778,-1.28936651404469,0.177699050561074,"male",29,2,20
"60",NA,NA,NA,20,28,21,13,18,14,0.841227257997646,0.203636550010444,1.32733952685776,0.238154396509063,1.01590211924538,"male",38,2,0
